crime
crime.2010
crime.2010.BATTERY - SIMPLE ASSAULT,20519
crime.2010.BURGLARY FROM VEHICLE,17683
crime.2010.VEHICLE - STOLEN,16654
crime.2010.BURGLARY,16064
crime.2010.THEFT OF IDENTITY,13130
crime.2011
crime.2011.BATTERY - SIMPLE ASSAULT,19902
crime.2011.BURGLARY,15910
crime.2011.BURGLARY FROM VEHICLE,15883
crime.2011.VEHICLE - STOLEN,15164
crime.2011.THEFT PLAIN - PETTY ($950 & UNDER),14637
crime.2012
crime.2012.BATTERY - SIMPLE ASSAULT,19815
crime.2012.THEFT PLAIN - PETTY ($950 & UNDER),16096
crime.2012.BURGLARY FROM VEHICLE,15911
crime.2012.BURGLARY,15108
crime.2012.VEHICLE - STOLEN,14821
crime.2013
crime.2013.BATTERY - SIMPLE ASSAULT,18924
crime.2013.THEFT PLAIN - PETTY ($950 & UNDER),16101
crime.2013.BURGLARY FROM VEHICLE,15500
crime.2013.BURGLARY,14461
crime.2013.VEHICLE - STOLEN,13938
crime.2014
crime.2014.BATTERY - SIMPLE ASSAULT,18404
crime.2014.THEFT PLAIN - PETTY ($950 & UNDER),15739
crime.2014.BURGLARY,13950
crime.2014.VEHICLE - STOLEN,13693
crime.2014.BURGLARY FROM VEHICLE,13074
crime.2015
crime.2015.BATTERY - SIMPLE ASSAULT,17582
crime.2015.VEHICLE - STOLEN,16046
crime.2015.THEFT PLAIN - PETTY ($950 & UNDER),15733
crime.2015.BURGLARY,14822
crime.2015.THEFT OF IDENTITY,14531
crime.2016
crime.2016.VEHICLE - STOLEN,18297
crime.2016.BATTERY - SIMPLE ASSAULT,17917
crime.2016.BURGLARY FROM VEHICLE,16750
crime.2016.THEFT PLAIN - PETTY ($950 & UNDER),14767
crime.2016.BURGLARY,14481
crime.2017
crime.2017.BATTERY - SIMPLE ASSAULT,14321
crime.2017.VEHICLE - STOLEN,14130
crime.2017.BURGLARY FROM VEHICLE,13542
crime.2017.BURGLARY,11245
crime.2017.THEFT PLAIN - PETTY ($950 & UNDER),10738
